Food,Travel,Clothing,Entertainment,Online Shopping,Electricity Bill,Water Bill,Gas,Groceries,Saving,Budget,total
500,400,500,300,600,1200,300,800,500,900,6000,
500,450,450,350,650,750,350,900,750,1850,7000,
300,500,1300,500,500,2100,500,1100,1000,1700,9500,
300,500,600,200,800,1000,450,950,700,500,6000,
800,300,1200,800,1100,950,400,880,1220,4350,12000,
1300,2100,1100,800,3000,1800,1400,850,5000,7650,25000,
350,300,300,200,1000,1200,300,900,1100,2350,8000,
650,800,1500,500,400,900,350,850,1050,4000,11000,
2000,1200,1400,2000,400,1300,220,1020,2020,8440,20000,
450,2000,1000,1500,800,1150,350,800,2000,1700,11750,
650,850,600,550,1200,800,300,800,1500,1250,8500,
400,350,400,500,700,800,400,850,800,800,6000,
550,350,750,300,1500,1500,380,1000,1200,2470,10000,
1300,600,450,150,1300,930,330,840,1300,5800,13000,
800,500,800,200,800,1150,350,880,920,2600,9000,
450,500,700,250,500,1050,325,825,1000,1400,7000,
700,600,1000,400,1200,1200,300,750,1500,2350,10000,
200,400,200,400,1200,1000,280,820,900,2600,8000,
450,600,550,750,2000,1100,250,750,1200,4890,12000,
250,350,1000,500,500,1200,400,950,850,3030,9000,
1200,700,1000,400,1600,1200,380,820,1650,6050,15000,
800,1500,1350,1150,2000,2000,600,990,5000,2210,18000,
850,550,2000,400,1000,1500,450,1000,2500,4250,14500,
900,500,600,550,1550,1300,500,800,400,5900,13000,
800,1000,750,600,1000,1250,400,700,1000,3000,10500,
1500,750,800,400,1800,1380,420,650,2000,3800,13500,
1000,650,800,850,3000,1000,400,750,2000,4550,15000,
1250,500,700,500,850,800,420,850,1100,4530,11500,
630,350,870,450,900,850,450,900,1500,7100,14000,
800,500,800,200,800,1150,350,880,920,2600,9000,
850,500,600,750,1350,1250,500,1020,1550,4130,12500,
